airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
16379302,13,0,1,0,1,42,30.26531526,-97.71774175,Austin,East Downtown,East Austin Lodge - New 5BR 4BA w/ Patio & Studio,14,25,Entire home/apt,Entire house,5,0,0.85,700,$700 ,,USD,0.95,TX
16404067,7,0,1,0,1,24,30.15985988,-97.813576,Austin,,Entire BLUE EYES house-10 min. to downtown!,10,16,Entire home/apt,Entire house,5,1,0.6,250,$250 ,,USD,0.8,TX
16407228,1,0,0,0,0,1,30.26762018,-97.7549918,Austin,,Great loft 5 min walk to 6th Street!,4,4,Entire home/apt,Entire apartment,5,0,0.51,250,$250 ,,USD,0.79,TX
16423095,6,0,0,0,0,13,30.28074499,-97.76383541,Austin,Old West Austin,Large Downtown Area Townhome for 8!,8,2,Entire home/apt,Entire townhouse,,0,1,595,$595 ,,USD,1,TX
16424704,1,0,0,0,0,1,30.29440169,-97.74656095,Austin,West Campus,Charming Central Austin Casita,1,0,Private room,Private room,,1,1,50,$50 ,,USD,0.85,TX
16447921,2,0,0,0,0,19,30.25539352,-97.73400381,Austin,East Downtown,SWSX Downtown Condo,5,3,Entire home/apt,Entire apartment,5,1,1,425,$425 ,,USD,1,TX
16451459,1,0,0,0,0,24,30.2698032,-97.74978072,Austin,Downtown,Chic Highrise Condo Downtown 1bd|1ba Pool Gym View,1,20,Entire home/apt,Entire apartment,5,1,1,150,$150 ,,USD,1,TX
16451796,1,0,0,0,0,24,30.27097271,-97.74824837,Austin,Downtown,Upscale 1bd|1ba Downtown Highrise Pool Gym Balcony,2,11,Entire home/apt,Entire apartment,5,1,1,160,$160 ,,USD,1,TX
16453634,1,0,0,1,0,24,30.25488361,-97.76377028,Austin,Zilker,Authentic 2br/2ba | Alamo Drafthouse | Gym/Pool,6,35,Entire home/apt,Entire apartment,5,1,1,200,$200 ,,USD,1,TX
16453747,1,0,0,1,0,24,30.25510504,-97.763943,Austin,Zilker,Modern 2br/2ba | Alamo Drafthouse | Gym/Pool,6,32,Entire home/apt,Entire apartment,5,1,1,197,$197 ,,USD,1,TX
