,airbnb_id,amount_formatted,beds,can_instant_book,currency,is_business,is_rebookable,is_superhost,lat,lng,localized_city,localized_neighborhood,monthly_price_factor,name,person_capacity,picture_count,rate_amount,reviews_count,room_type,space_type,star_rating,weekly_price_factor
770,4163970.0,$74,1.0,0.0,USD,0.0,0.0,0.0,35.16298409147454,-106.2932371216077,Sandia Park,,0.58,Beautiful mountainous solar home!,2.0,6.0,74.0,0.0,Private room,Private room,,0.87
771,28313841.0,$300,4.0,1.0,USD,0.0,0.0,0.0,35.120190930837374,-106.53690157210914,Albuquerque,,0.55,Garden paradise home made to relax!,8.0,22.0,300.0,1.0,Entire home/apt,Entire house,,0.8
772,29007199.0,$39,2.0,1.0,USD,0.0,0.0,1.0,35.11825946370679,-106.67406455381287,Albuquerque,,0.69,Affordable Private Casita,4.0,6.0,39.0,3.0,Entire home/apt,Entire cabin,4.0,0.84
773,22599085.0,$30,1.0,1.0,USD,0.0,0.0,1.0,35.30845932415984,-106.50468613097622,Placitas,,0.71,Bedroom with Patio view in Retreat Like Setting,1.0,14.0,30.0,23.0,Private room,Private room,5.0,0.9
774,22160034.0,$40,1.0,0.0,USD,0.0,0.0,1.0,35.09120048487252,-106.66196945965203,Albuquerque,,0.6,DISCOUNTED! Cozy Downtown Studio,2.0,19.0,40.0,87.0,Entire home/apt,Entire guest suite,5.0,0.8
775,27162881.0,$95,3.0,1.0,USD,0.0,0.0,0.0,35.09652512562482,-106.66024748526733,Albuquerque,,0.6,Old Town Charmer,5.0,14.0,95.0,6.0,Entire home/apt,Entire townhouse,5.0,0.85
776,1150675.0,$60,1.0,0.0,USD,0.0,0.0,1.0,35.14074351608033,-106.70394444420671,Albuquerque,,0.48,Master Room with Private Bathroom,2.0,9.0,60.0,45.0,Private room,Private room,5.0,0.75
777,25920644.0,$15,2.0,1.0,USD,0.0,0.0,1.0,35.008657038060726,-106.34820646356684,Tijeras,,0.75,"Maraposa Gardens, Tent, 420 friendly",4.0,12.0,15.0,24.0,Private room,Private room,5.0,0.9
778,15677946.0,$20,1.0,0.0,USD,0.0,0.0,0.0,35.13663072166706,-106.60382935788091,Albuquerque,,0.6,RV Parking/Tent/Camping Space,3.0,2.0,20.0,3.0,Private room,Private room,5.0,0.8
779,14520529.0,$116,4.0,1.0,USD,0.0,0.0,1.0,35.300944300022046,-106.438785429146,Placitas,,1.0,Estrellas Bliss,9.0,34.0,116.0,15.0,Entire home/apt,Entire apartment,5.0,0.9
